Polda,Jumlah_Kriminalitas,Risiko_Kejahatan
Sumatera Utara,32990,231
Metro Jaya,26585,105
Jawa Timur,17642,44
Sulawesi Selatan,12815,145
Sumatera Selatan,12189,147
Jawa Barat,11256,29
Jawa Tengah,10712,31
Nusa Tenggara Barat,8591,167
Riau,8194,123
Sumatera Barat,7992,150
Aceh,7745,149
DI Yogyakarta,7721,200
Lampung,7594,92
Papua,6962,208
Sulawesi Utara,6274,252
Sulawesi Tengah,5454,179
Maluku,5350,303
Kalimantan Selatan,5206,196
Nusa Tenggara Timur,4790,88
Jambi,4709,134
Banten,4250,63
Kalimantan Barat,3858,79
Kalimantan Timur,3609,100
Bengkulu,3333,172
Papua Barat,3162,328
Kepulauan Riau,2843,127
Kalimantan Tengah,2629,62
Bali,2597,59
Gorontalo,2518,214
Sulawesi Tenggara,2148,80
Kep.  Bangka Belitung,1931,133
Sulawesi Barat,1704,126
Kalimantan Utara,1015,146
Maluku Utara,850,68
