polda,Kasus Selesai 2017 (%),Kasus Selesai 2018 (%),Kasus Selesai 2019 (%),Kasus Selesai 2020 (%),Kasus Selesai 2021 (%)
Aceh,27.1919,38.2736,35.3869,37.9083,56.9839
Sumatera Utara,67.2963,68.1702,74.9051,68.7026,68.3692
Sumatera Barat,42.8777,45.2714,54.1938,83.9339,100
Riau,54.3311,51.6561,44.7184,38.101,77.3429
Jambi,65.1978,68.8579,68.7938,85.5383,79.1948
Sumatera Selatan,66.8489,74.8193,69.217,76.7577,73.9971
Bengkulu,49.7226,83.594,67.5355,68.3468,46.8079
Lampung,68.8791,71.8398,75.4394,64.1691,64.3179
Kep. Bangka Belitung,64.8369,55.5176,54.5827,67.478,69.2209
Kepulauan Riau,56.3027,59.7536,63.3112,66.8308,65.6993
Metro Jaya,80.7519,88.2326,99.6931,100,97.9899
Jawa Barat,57.0822,74.9584,83.644,88.2285,73.0605
Jawa Tengah,93.8336,76.4764,64.6312,36.3518,70.7824
DI Yogyakarta,39.6221,36.9336,67.7594,95.6223,100
Jawa Timur,54.6708,58.7412,44.6804,52.7435,55.3513
Banten,61.3218,61.358,63.0058,73.0824,76.092
Bali,79.4093,74.9377,83.2622,90.258,84.6922
Nusa Tenggara Barat,52.3487,59.0761,49.0043,49.2725,59.6569
Nusa Tenggara Timur,70.9764,70.3212,54.7144,49.2693,33.0617
Kalimantan Barat,72.1761,77.021,89.3031,100,91.4526
Kalimantan Tengah,85.4391,72.1881,87.1931,78.8893,81.9925
Kalimantan Selatan,76.087,75.928,81.3209,82.2897,78.5642
Kalimantan Timur,69.8109,75.7595,84.3106,89.3322,63.3874
Sulawesi Utara,70.4298,53.7426,63.5286,77.4625,58.037
Sulawesi Tengah,46.748,56.3919,65.3631,68.5735,53.3956
Sulawesi Selatan,62.0651,53.591,71.533,82.9653,64.2594
Sulawesi Tenggara,69.5394,69.5962,34.46,26.3966,61.4151
Gorontalo,91.3198,64.4922,72.5813,70.7307,54.6012
Sulawesi Barat,55.8935,56.1915,61.0306,63.4977,75.1333
Maluku,22.2294,24.2457,44.0057,26.5607,43.7082
Maluku Utara,44.6134,56.0942,60.8635,55.2941,58.4325
Papua Barat,10.1138,27.482,44.2127,31.7837,32.8305
Papua,68.5188,62.4128,51.2439,55.6737,42.4471
